text,sentiment,app_category,rating,app_version,device_type,review_length,helpful_votes
It works fine but the interface could be more user-friendly.,Neutral,Entertainment,3,2.3.6,Tablet,60,44
Decent app that does the basics but could use some improvements.,Neutral,Education,3,2.8.9,Android,64,48
Standard functionality with average performance. It's acceptable.,Neutral,Health,3,5.2.9,Tablet,65,17
It works fine but the interface could be more user-friendly.,Neutral,Productivity,3,4.8.9,Tablet,60,26
Fair quality app with room for improvement in several areas.,Neutral,Education,3,4.4.8,iPhone,60,2
Okay app that serves its purpose but could be more polished.,Neutral,Games,3,2.8.7,iPad,60,36
Average app that meets basic needs but lacks advanced features.,Neutral,Games,3,3.2.2,Tablet,63,16
Fair app with standard features. Gets the job done adequately.,Neutral,Education,3,1.2.7,iPad,62,40
Okay app that serves its purpose but could be more polished.,Neutral,Games,3,3.1.5,Tablet,60,9
It works fine but the interface could be more user-friendly.,Neutral,Entertainment,3,5.2.1,Android,60,21
Reasonable app for the price. Does what it says but nothing more.,Neutral,Games,3,1.3.2,Tablet,65,19
It works fine but the interface could be more user-friendly.,Neutral,Social,3,3.7.2,iPhone,60,0
Fair app with standard features. Gets the job done adequately.,Neutral,Games,3,2.0.0,Android,62,28
Standard functionality with average performance. It's acceptable.,Neutral,Social,3,1.6.2,iPad,65,16
Fair quality app with room for improvement in several areas.,Neutral,Games,3,1.3.9,Android,60,14
Okay app that serves its purpose but could be more polished.,Neutral,Entertainment,3,2.7.4,iPad,60,26
Standard functionality with average performance. It's acceptable.,Neutral,Utilities,3,5.1.2,Tablet,65,32
Reasonable app for the price. Does what it says but nothing more.,Neutral,Entertainment,3,2.4.8,Tablet,65,36
Fair app with standard features. Gets the job done adequately.,Neutral,Games,3,3.0.2,Tablet,62,27
Fair quality app with room for improvement in several areas.,Neutral,Games,3,1.4.8,iPhone,60,49
It works fine but the interface could be more user-friendly.,Neutral,Games,3,1.4.0,Android,60,5
Decent app that does the basics but could use some improvements.,Neutral,Social,3,5.9.0,Android,64,18
Average app that meets basic needs but lacks advanced features.,Neutral,Utilities,3,1.6.2,iPhone,63,1
Reasonable app for the price. Does what it says but nothing more.,Neutral,Productivity,3,3.4.5,iPad,65,50
Standard functionality with average performance. It's acceptable.,Neutral,Utilities,3,2.9.9,iPhone,65,7
Standard functionality with average performance. It's acceptable.,Neutral,Education,3,4.8.9,Android,65,30
"It's okay, works as expected but nothing particularly impressive.",Neutral,Games,3,5.0.4,Tablet,65,12
It works fine but the interface could be more user-friendly.,Neutral,Utilities,3,5.7.6,Tablet,60,2
It works fine but the interface could be more user-friendly.,Neutral,Social,3,4.2.1,iPhone,60,5
Standard functionality with average performance. It's acceptable.,Neutral,Social,3,1.3.4,Tablet,65,27
Fair app with standard features. Gets the job done adequately.,Neutral,Utilities,3,2.5.6,Android,62,19
Fair quality app with room for improvement in several areas.,Neutral,Social,3,4.3.9,iPad,60,38
Fair quality app with room for improvement in several areas.,Neutral,Education,3,4.0.3,Tablet,60,2
Reasonable app for the price. Does what it says but nothing more.,Neutral,Games,3,1.8.1,Tablet,65,4
Decent app overall but there are better alternatives available.,Neutral,Social,3,4.5.4,iPhone,63,18
Fair quality app with room for improvement in several areas.,Neutral,Productivity,3,4.1.2,Tablet,60,6
Decent app overall but there are better alternatives available.,Neutral,Entertainment,3,5.2.3,Tablet,63,49
Average app that meets basic needs but lacks advanced features.,Neutral,Health,3,3.2.7,iPhone,63,25
Decent app overall but there are better alternatives available.,Neutral,Education,3,1.0.0,iPhone,63,44
Reasonable app for the price. Does what it says but nothing more.,Neutral,Health,3,1.0.7,Android,65,29
Okay app that serves its purpose but could be more polished.,Neutral,Games,3,1.9.6,Android,60,10
Reasonable app for the price. Does what it says but nothing more.,Neutral,Health,3,5.3.3,Android,65,20
Fair app with standard features. Gets the job done adequately.,Neutral,Productivity,3,2.0.6,iPhone,62,33
Standard functionality with average performance. It's acceptable.,Neutral,Health,3,5.4.6,Android,65,6
Decent app overall but there are better alternatives available.,Neutral,Games,3,4.0.1,iPhone,63,50
Decent app overall but there are better alternatives available.,Neutral,Games,3,4.4.8,iPhone,63,8
It works fine but the interface could be more user-friendly.,Neutral,Health,3,1.6.5,Tablet,60,9
Fair app with standard features. Gets the job done adequately.,Neutral,Social,3,5.1.9,iPhone,62,5
Fair quality app with room for improvement in several areas.,Neutral,Utilities,3,1.8.7,iPad,60,40
It works fine but the interface could be more user-friendly.,Neutral,Games,3,1.9.6,iPhone,60,3
"It's okay, works as expected but nothing particularly impressive.",Neutral,Education,3,3.7.8,Android,65,4
Fair quality app with room for improvement in several areas.,Neutral,Productivity,3,2.1.3,iPhone,60,45
Average app that meets basic needs but lacks advanced features.,Neutral,Entertainment,3,4.6.9,iPhone,63,36
Fair app with standard features. Gets the job done adequately.,Neutral,Social,3,5.5.5,iPhone,62,18
Decent app that does the basics but could use some improvements.,Neutral,Entertainment,3,1.3.4,iPad,64,31
